id,name,manufacturer,scale,year,folder,material,type,desc,figures
54,Прусский улан,?,1:32,,unknown/ulan,metal,flat,Авторский покрас,
55,Казахское ханство,Солдатики ЛАД,1:32,2019,lad/kazahi,plastic,flat,,;;;;;
56,Барон Хлодомир и его люди,Воины и битвы,1:32,2018-,voiny_i_bitvy/hlodomir,plastic,flat,,;;;;;
57,"Конные половцы (XI-XII вв), выпуск 1",Воины и битвы,1:32,2018-,voiny_i_bitvy/konnye_polovcy,plastic,flat,,;;;
58,"Конные половцы (XI-XII вв), выпуск 2",Воины и битвы,1:32,2018-,voiny_i_bitvy/konnye_polovcy_2,plastic,flat,,;;;
59,Крестьяне и разбойники,Воины и битвы,1:32,2018-,voiny_i_bitvy/krestiane,plastic,flat,,;;;;;;;
60,Ледовое побоище,Воины и битвы,1:32,2018-,voiny_i_bitvy/ledovoe_poboische,plastic,flat,,;;;;;;;;;
61,Революционные матросы,Воины и битвы,1:32,2019-,voiny_i_bitvy/matrosy,plastic,flat,,;;;;;;;;;;;
62,Тайный Орден Мёртвого Пламени (маги),Воины и битвы,1:32,2018-,voiny_i_bitvy/orden_plameni,plastic,flat,,;;;;;;;
63,"Пешие половцы (XI-XII вв), выпуск 1",Воины и битвы,1:32,2018-,voiny_i_bitvy/peshie_polovcy,plastic,flat,,;;;;;;;
64,"Пограничники, выпуск 1",Воины и битвы,1:32,2019-,voiny_i_bitvy/pogranichniki,plastic,flat,,;;;;;;
65,"Половецкий стан, выпуск 1",Воины и битвы,1:32,2019-,voiny_i_bitvy/polovetski_stan,plastic,flat,,;;;;;
66,Русская пешая дружина,Воины и битвы,1:32,2018-,voiny_i_bitvy/rus_druzhina,plastic,flat,,;;;;;;;
67,Самураи,Нетехнолог,1:32,2018-2019,netechnolog/samurai,plastic,round,,"Асигару. Япония, 1600 год;Асигару. Япония, 15-16 век;Самурай, 16-17 век;Самурай в походе, 16 век;Самурай, 11-13 век;Самурай с копьём яри, 1600 год;Самурай, 1600 год"
68,"РККА. Если завтра война, №4",Инженер Басевич,1:32,2010-,basevich/rkka,plastic,round,,;;;;;;;
69,Солдаты 1812 года,АФМИ,1:35,1970-,astrecovo/1812,metal,flat,Современная копия от УРА,
70,"Эпоха великих сражений (Крестоносцы, №1)",Биплант,1:32,,biplant/crusaders1,plastic,round,,Маршал;Копейщик;Латник
71,"Эпоха великих сражений (Крестоносцы, №2)",Биплант,1:32,,biplant/crusaders2,plastic,round,,Паладин;Тамплиер;Лучник;Лазутчик;Тевтонец
72,Эпоха великих сражений (Галлы),Биплант,1:32,,biplant/galls,plastic,round,,Верцингеториг;Думнорикс;Таврин;Гезат;Друид;Гезат
73,Эпоха великих сражений (Римляне),Биплант,1:32,,biplant/romans,plastic,round,,Центурион;Триарий;Гоплит;Принцип;Гастат;Пращник
74,Эпоха великих сражений (Русичи),Биплант,1:32,,biplant/russians,plastic,round,,Воевода;Сотник;Копейщик;Стрелец;Дружинник;Копейщик
75,Солдаты 1812 года,Малыш,1:32,1970-,malysh/1812,plastic,round,,;;;
76,Немецкая пехота,Airfix,1:32,2010-,airfix/germans_2010,plastic,round,,;;;;;;;
77,Воины 1812 года,АФМИ,1:35,1980-,astrecovo/pehota1812,metal,flat,,;;;;;;;;
78,Конармия,АФМИ,1:32,1970-,astrecovo/konarmia,metal,flat,,;;;;;;
79,Воины Средневековья (пешие),АФМИ,1:32,1970-1980-е,astrecovo/voiny_srednevekovya_peshie,metal,flat,,;;;;;;;;;;;;;;;
80,Воины Средневековья (конные),АФМИ,1:32,1970-1980-е,astrecovo/voiny_srednevekovya_konnye,metal,flat,,;;;;;;;
81,Австралийская пехота,Оритет,1:35,1990-е,oritet/australians,plastic,round,Копия Airfix,;;;
82,Зулусские воины,Cherilea,1:32,,cherilea/africans,plastic,round,,;;;;;
83,Зулусские воины,Charbens,1:32,,charbens/africans,plastic,round,,;;
84,Воины 1812 года,Дон-Пересвет,1:32,2019-2020,don_peresvet/1812,metal,round,,;;;;;
85,Солдаты Петра I,Дон-Пересвет,1:42,2000-,don_peresvet/petr1,metal,flat,,;;;;;;;;;;;
86,Солдаты Петра I (Семёновский полк),Дон-Пересвет,1:42,2000-,don_peresvet/petr1_semen,metal,flat,,;;;;
87,Римляне,Jecsan,1:32,,jecsan/romans,plastic,round,,;;;;;
88,Тяжкий XIII-век: Княжеская дружина,Солдатики ЛАД,1:32,,lad/tyazhki,plastic,flat,,;;;;;;;
89,Воины древней Эллады,Солдатики ЛАД,1:32,,lad/goplits,plastic,flat,,;;;;;;;
90,Ледовое побоище: русская дружина,Солдатики ЛАД,1:32,,lad/ledovoe_russians,plastic,flat,,;;;;;;;;;;;
91,Ледовое побоище: рыцари,Солдатики ЛАД,1:32,,lad/ledovoe_knights,plastic,flat,,;;;;;;;;;;;
92,Египтяне,ДЗИ,1:32,1980-,dzi/egyptians,plastic,round,,;;;;;;;
93,Самураи (конные),Нетехнолог,1:32,2020,netechnolog/samurai_konnye,plastic,round,,;;;;
94,Швейцарский всадник,Нетехнолог,1:32,2020,netechnolog/samurai_konnye,plastic,round,,
95,Русская дружина,Прогресс,1:32,1980-,progress/rus_drujina,plastic,round,,;;;;
96,Древняя Греция. Фаланга. Афины,Воины и битвы,1:32,,voiny_i_bitvy/goplits,plastic,flat,,;;;;;
97,Ацтеки,Воины и битвы,1:32,,voiny_i_bitvy/aztecs,plastic,flat,,;;;;;;;
98,Конкистадоры,Воины и битвы,1:32,,voiny_i_bitvy/konkistadory,plastic,flat,,;;;;;;;
99,Русская конная дружина. Младшая дружина,Воины и битвы,1:32,,voiny_i_bitvy/mladshaya_drujina,plastic,flat,,;;;;;
100,Русская конная дружина. Старшая дружина,Воины и битвы,1:32,,voiny_i_bitvy/starshaya_drujina,plastic,flat,,;;;;;
101,Всадники 1812 года,"Химический завод им.Ленина, г.Казань",1:32,1970-,kazan/1812,plastic,flat,,;;;
102,"Половецкий стан, выпуск 2",Воины и битвы,1:32,2019-,voiny_i_bitvy/polovetski_stan_2,plastic,flat,,;;;
103,Викинги,Emhar,1:32,,emhar/vikings,plastic,round,,;;;;;;;;;;;
104,Барон Манфре и его люди,Воины и битвы,1:32,,voiny_i_bitvy/manfre,plastic,flat,,;;;;;
105,Первая конная,ЛПО Игрушка,1:32,1967-,lpo_igrushka/pervaya_konnaya_1,plastic,flat,"Скульптор Б. Д. Савельев. Ранний выпуск, наиболее детализированные фигуры, широкая подставка.",;;;;;;;
106,Первая конная,ЛПО Игрушка,1:32,1967-,lpo_igrushka/pervaya_konnaya_2,plastic,flat,Скульптор Б. Д. Савельев. Промежуточный по детализации вариант.,;;;;;;;
107,Конница 1812 года (набор №2),Малыш,1:32,1983-,malysh/1812_cavalry/2,plastic,flat,"Скульптор Б. Д. Савельев. Разные выпуски различались качеством пластика (плотный и полупрозрачный), ценой (12к. ранние и 11к. поздние), а также множеством мелких деталей.",;;;;;
